Region,Scenario,Variable,Unit,2000,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Notes
R5ASIA,IMAGE - RCP3-PD (2.6),CH4 emissions - International Shipping,TgCH4/yr,,,,,,,,,,,,,
R5LAM,IMAGE - RCP3-PD (2.6),CH4 emissions - International Shipping,TgCH4/yr,,,,,,,,,,,,,
R5MAF,IMAGE - RCP3-PD (2.6),CH4 emissions - International Shipping,TgCH4/yr,,,,,,,,,,,,,
R5OECD,IMAGE - RCP3-PD (2.6),CH4 emissions - International Shipping,TgCH4/yr,,,,,,,,,,,,,
R5REF,IMAGE - RCP3-PD (2.6),CH4 emissions - International Shipping,TgCH4/yr,,,,,,,,,,,,,
World,IMAGE - RCP3-PD (2.6),CH4 emissions - International Shipping,TgCH4/yr,0.433,0.475,0.473,0.520,0.522,0.318,0.000,0.000,0.000,0.000,0.000,0.000,
R5ASIA,IMAGE - RCP3-PD (2.6),"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,21.976,26.384,33.439,12.064,10.050,9.058,7.205,4.234,4.783,4.574,4.046,3.538,
R5LAM,IMAGE - RCP3-PD (2.6),"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,5.070,5.095,5.742,3.531,2.412,2.268,2.030,1.021,1.161,1.164,1.034,0.956,
R5MAF,IMAGE - RCP3-PD (2.6),"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,13.425,16.493,19.753,13.196,12.987,16.216,15.016,5.748,5.247,4.770,4.686,3.677,
R5OECD,IMAGE - RCP3-PD (2.6),"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,16.731,15.265,15.635,6.394,4.473,3.410,2.616,1.651,2.096,2.282,2.210,2.054,
R5REF,IMAGE - RCP3-PD (2.6),"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,13.659,14.668,12.590,9.104,6.305,5.236,3.648,1.566,1.517,1.405,1.356,1.381,
World,IMAGE - RCP3-PD (2.6),"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,70.855,77.898,87.151,44.287,36.224,36.186,30.513,14.221,14.803,14.194,13.331,11.605,
R5ASIA,IMAGE - RCP3-PD (2.6),CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5LAM,IMAGE - RCP3-PD (2.6),CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5MAF,IMAGE - RCP3-PD (2.6),CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5OECD,IMAGE - RCP3-PD (2.6),CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5REF,IMAGE - RCP3-PD (2.6),CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
World,IMAGE - RCP3-PD (2.6),CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5ASIA,IMAGE - RCP3-PD (2.6),"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,23.130,16.713,19.486,12.013,10.710,10.685,4.982,3.378,3.128,2.852,2.581,2.352,
