World,AIM - RCP 6.0,HFC32 emissions - Total,kt/yr,4.000,10.994,17.942,60.642,72.035,80.712,74.607,84.086,93.880,96.271,91.204,81.227,
R5ASIA,AIM - RCP 6.0,HFC125 emissions - Total,kt/yr,1.413,3.025,2.144,2.795,3.271,3.684,3.937,4.239,4.480,4.616,4.613,4.569,
R5LAM,AIM - RCP 6.0,HFC125 emissions - Total,kt/yr,0.432,0.876,0.420,0.348,0.419,0.526,0.653,0.777,0.962,1.163,1.286,1.369,
R5MAF,AIM - RCP 6.0,HFC125 emissions - Total,kt/yr,0.680,1.383,0.786,0.837,0.944,1.073,1.197,1.443,1.760,2.083,2.284,2.433,
R5OECD,AIM - RCP 6.0,HFC125 emissions - Total,kt/yr,5.817,7.906,4.406,4.475,4.296,4.191,4.045,3.940,3.689,3.347,3.087,2.843,
R5REF,AIM - RCP 6.0,HFC125 emissions - Total,kt/yr,0.196,0.569,0.365,0.436,0.489,0.533,0.553,0.540,0.530,0.530,0.509,0.487,
World,AIM - RCP 6.0,HFC125 emissions - Total,kt/yr,8.538,13.759,8.121,8.889,9.418,10.006,10.385,10.938,11.420,11.739,11.779,11.699,
R5ASIA,AIM - RCP 6.0,HFC134a emissions - Total,kt/yr,9.010,16.398,21.505,24.181,34.767,42.945,48.456,55.139,61.416,65.148,65.665,65.255,
R5LAM,AIM - RCP 6.0,HFC134a emissions - Total,kt/yr,3.757,6.808,8.159,8.020,9.506,11.383,13.588,15.761,18.452,20.825,22.710,23.932,
R5MAF,AIM - RCP 6.0,HFC134a emissions - Total,kt/yr,3.937,7.491,10.025,11.847,13.414,14.791,15.922,19.134,22.363,24.573,25.739,26.372,
R5OECD,AIM - RCP 6.0,HFC134a emissions - Total,kt/yr,55.289,84.549,98.972,102.112,93.031,85.875,80.695,73.586,65.578,58.780,53.287,48.329,
R5REF,AIM - RCP 6.0,HFC134a emissions - Total,kt/yr,3.047,5.688,7.641,7.732,8.402,8.635,8.445,8.349,8.113,7.746,7.164,6.612,
World,AIM - RCP 6.0,HFC134a emissions - Total,kt/yr,75.039,120.933,146.301,153.891,159.119,163.629,167.105,171.969,175.922,177.072,174.566,170.500,
R5ASIA,AIM - RCP 6.0,HFC143a emissions - Total,kt/yr,1.037,2.824,1.064,1.385,2.053,2.596,2.970,3.458,3.906,4.213,4.339,4.401,
R5LAM,AIM - RCP 6.0,HFC143a emissions - Total,kt/yr,0.359,0.891,0.296,0.317,0.383,0.486,0.613,0.745,0.908,1.054,1.164,1.238,
R5MAF,AIM - RCP 6.0,HFC143a emissions - Total,kt/yr,0.450,1.198,0.462,0.620,0.683,0.743,0.785,0.955,1.119,1.234,1.318,1.373,
R5OECD,AIM - RCP 6.0,HFC143a emissions - Total,kt/yr,4.257,7.186,2.557,3.049,2.713,2.553,2.476,2.312,2.108,1.951,1.858,1.766,
R5REF,AIM - RCP 6.0,HFC143a emissions - Total,kt/yr,0.131,0.350,0.135,0.182,0.227,0.261,0.275,0.288,0.301,0.316,0.320,0.321,
World,AIM - RCP 6.0,HFC143a emissions - Total,kt/yr,6.234,12.448,4.514,5.554,6.059,6.639,7.119,7.758,8.342,8.768,8.999,9.099,
R5ASIA,AIM - RCP 6.0,HFC227ea emissions - Total,kt/yr,0.020,0.048,0.115,0.024,0.016,0.022,0.008,0.004,0.003,0.003,0.002,0.002,
R5LAM,AIM - RCP 6.0,HFC227ea emissions - Total,kt/yr,0.012,0.057,0.125,0.021,0.014,0.019,0.008,0.004,0.004,0.004,0.003,0.003,
R5MAF,AIM - RCP 6.0,HFC227ea emissions - Total,kt/yr,0.019,0.062,0.136,0.023,0.013,0.018,0.008,0.005,0.005,0.006,0.005,0.005,
R5OECD,AIM - RCP 6.0,HFC227ea emissions - Total,kt/yr,1.803,4.344,7.553,1.283,0.554,0.510,0.137,0.051,0.036,0.025,0.017,0.012,
R5REF,AIM - RCP 6.0,HFC227ea emissions - Total,kt/yr,0.097,0.380,0.891,0.164,0.105,0.138,0.047,0.021,0.018,0.014,0.010,0.007,
World,AIM - RCP 6.0,HFC227ea emissions - Total,kt/yr,1.951,4.890,8.820,1.516,0.701,0.707,0.207,0.085,0.066,0.051,0.038,0.027,
R5ASIA,AIM - RCP 6.0,HFC245fa emissions - Total,kt/yr,2.246,3.369,9.747,11.237,13.156,14.672,15.789,16.472,16.933,16.884,16.582,16.147,
